COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$DOMICILIO$CODPOSTAL$TELEFONO$LATITUD$LONGITUD$DIRECCION_GOOGLE
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela de Arte y Superior de Diseño$Carlos Pérez Siquier$4001242$Pablo Cazard, 1                                                                 $4001$950156158$36.8371254$-2.4643233$Pl. Pablo Cazard, 1, 04001 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Carmen Mora Garrido$4009472$Los Almendros, s/n                                                              $4009$677551249$36.8616927$-2.4529976$04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Dumbo$4009113$Adra, 7$4007$950155024$36.8320272$-2.4476799$C. Jacinto Benavente, 24, 04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Espejo del Mar$4009101$Sierra de Monteagud, 137$4009$950153334$36.8600588$-2.4494853$Calle Sierra de Monteagud, 137, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$La Alcazaba$4009095$Sevillanas, s/n$4009$647754460$36.8477483$-2.4298564$C. Sevillanas, 54, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$La Esmeralda$4009083$Turquesa, 28$4008$950155026$36.850421$-2.457477$C. Turquesa, 28, 04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Los Llanos de la Cañada$4009071$El Boticario, s/n$4120$647554022$36.8603471$-2.3891599$C. el Boticario, 0, 04120 Loma Cabrera, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Maestro Padilla$4601580$Grecia, 1                                                                       $4009$950156543$36.84583500000001$-2.4444497$C. Grecia, 1, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Mar de Alborán$4001230$Padre Méndez, s/n                                                               $4006$950156542$36.8403888$-2.4531372$Calle del Padre Méndez, 0, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Mediterráneo$4009265$Francia, esquina Suiza$4009$950155022$36.8514141$-2.4421619$C. Francia, 131, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Santo Ángel de la Guarda$4009034$Escalinata, 25$4002$950234675$36.8381069$-2.4793194$C. Escalinata, 25, 04002 Almería, Spain
